total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
7,NA,NA,EZE Joy Ogbonne,5000,2004-06-06,20.2,W,NGR,A,70.45,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,95,101,-105,101,120,127,131,131,232
8,NA,NA,DA COSTA Schott Amanda,3885,1996-09-24,27.9,W,BRA,A,70.85,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,100,104,106,106,-117,123,-131,123,229
9,NA,NA,SAID Neama Said Fahmi,14608,2002-11-15,21.7,W,EGY,A,70.8,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,97,-101,-102,97,120,125,NA,125,222
10,NA,NA,NICHELE Jacqueline Mary,12008,2000-03-07,24.4,W,AUS,A,70.2,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,90,94,-98,94,115,-120,-120,115,209
NA,NA,NA,TOMA Loredana-Elena,16694,1995-05-10,29.2,W,ROU,A,70.7,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,111,115,-117,115,-131,-133,-134,NA,NA
NA,NA,NA,SARNO Vanessa,14928,2003-09-28,20.9,W,PHI,A,70.5,71 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-100,-100,-100,NA,NA,NA,NA,NA,NA
1,NA,NA,JUNIANSYAH Rizki,7762,2003-06-17,21.1,M,INA,A,72.95,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-155,155,-162,155,191,199,NA,199,354
2,NA,NA,WICHUMA Weeraphon,17737,2004-08-10,20,M,THA,A,72.7,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,148,-152,-152,148,190,194,198,198,346
3,NA,NA,ANDREEV Bozhidar Dimitrov,1190,1997-01-17,27.6,M,BUL,A,73,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,148,152,154,154,183,187,190,190,344
4,NA,NA,OZBEK Muhammed Furkan,12602,2001-01-24,23.5,M,TUR,A,72.95,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,150,-153,-155,150,-189,-191,191,191,341
5,NA,NA,MOSQUERA LOZANO Luis Javier,11403,1995-03-27,29.4,M,COL,A,73,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-150,150,155,155,-185,185,-189,185,340
6,NA,NA,MIYAMOTO Masanori,11084,1997-02-03,27.5,M,JPN,A,72.65,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,147,151,-155,151,-187,187,-193,187,338
7,NA,NA,BAK Joohyo,1777,1997-06-29,27.1,M,KOR,A,73,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-146,147,-150,147,-186,187,-196,187,334
8,NA,NA,BEN HNIA Karem,2130,1994-11-13,29.7,M,TUN,A,73,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-145,145,149,149,181,-186,-187,181,330
9,NA,NA,KINGUE MATAM Bernardin Ledoux,8504,1990-05-20,34.2,M,FRA,A,73,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,138,142,145,145,-175,175,-180,175,320
NA,NA,NA,SHI Zhiyong,15360,1993-10-10,30.8,M,CHN,A,72.9,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,161,165,-168,165,-191,-191,-191,NA,NA
NA,NA,NA,SUHAREVS Ritvars,16072,1999-01-11,25.6,M,LAT,A,73,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-147,-147,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,MAYORA PERNA Julio Ruben,10629,1996-09-02,27.9,M,VEN,A,72.95,73 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,152,-156,-156,152,-188,-188,-192,NA,NA
1,NA,NA,KOANDA Solfrid Eila Amena,8615,1998-11-13,25.7,W,NOR,A,81,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,117,121,-124,121,148,154,-162,154,275
2,NA,NA,AHMED Sara Samir Elsayed Mohamed,400,1998-01-01,26.6,W,EGY,A,80.1,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,113,117,-119,117,146,151,-155,151,268
3,NA,NA,DAJOMES BARRERA Neisi Patricia,3930,1998-05-12,26.2,W,ECU,A,80.5,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-118,118,122,122,-145,145,-151,145,267
4,NA,NA,CIKAMATANA Eileen Floanna Maria,3613,1999-09-18,24.9,W,AUS,A,81,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,113,117,-120,117,145,-149,-149,145,262
5,NA,NA,MEJIA PEGUERO Yudelina,10773,1997-06-04,27.2,W,DOM,A,81,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-111,111,-115,111,145,-150,-157,145,256
6,NA,NA,KIM Suhyeon,8456,1995-02-06,29.5,W,KOR,A,80.3,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-110,110,-113,110,140,-147,-147,140,250
7,NA,NA,"NASCIMENTO AMARO Laura",11799,2000-10-27,23.8,W,BRA,A,79.35,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,105,-110,-110,105,130,135,-140,135,240
8,NA,NA,ADASHBAEVA Rigina,256,2001-10-29,22.8,W,UZB,A,80.85,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,100,103,105,105,125,131,-136,131,236
9,NA,NA,JAMALI GALEH Yekta,7415,2004-12-16,19.6,W,WRT,A,80.85,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,95,99,103,103,124,128,-133,128,231
10,NA,NA,MUNKHJANTSAN Ankhtsetseg,11539,1997-12-25,26.6,W,MGL,A,81,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,100,-106,-108,100,120,125,NA,125,225
11,NA,NA,PRITCHARD LOLO Ajah,13474,2002-08-10,22,W,VAN,A,80.7,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,85,89,-92,89,103,108,-112,108,197
NA,NA,NA,MEDINA ROCA Ayamey Damiana,10734,1998-02-21,26.5,W,CUB,A,81,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,96,100,-103,100,-120,-120,NA,NA,NA
NA,NA,NA,ZIELINSKA Weronika,18474,1997-05-16,27.2,W,POL,A,79.8,81 kg Women,0,0,604,XXXIII Olympic Games,2024-08-07,-106,-106,-107,NA,NA,NA,NA,NA,NA
1,NA,NA,"NASAR Karlos May",11796,2004-05-12,20.2,M,BUL,A,88.4,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,173,177,180,180,213,224,NA,224,404
2,NA,NA,LOPEZ LOPEZ Yeison,9810,1999-01-09,25.6,M,COL,A,88.2,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,175,-180,180,180,-205,205,210,210,390
3,NA,NA,PIZZOLATO Antonino,13260,1996-08-20,28,M,ITA,A,89,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-172,172,-176,172,-212,-212,212,212,384
4,NA,NA,ROBU Marin,14154,2000-03-19,24.4,M,MDA,A,88.9,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,170,175,NA,175,200,208,-212,208,383
5,NA,NA,JAVADI ALIABADI Mir Mostafa,7492,2000-06-22,24.1,M,IRI,A,88.8,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,164,168,-171,168,204,-217,-217,204,372
6,NA,NA,YU Dongju,18182,1993-08-19,31,M,KOR,A,89,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-163,163,168,168,203,-211,-217,203,371
7,NA,NA,KARAPETYAN Andranik,7977,1995-12-15,28.6,M,ARM,A,88.9,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,170,-175,-177,170,200,-210,-215,200,370
8,NA,NA,VALLENILLA SANCHEZ Keydomar Giovanni,17209,1999-10-08,24.8,M,VEN,A,88.65,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,157,162,-165,162,190,196,-200,196,358
9,NA,NA,IMADOUCHENE Romain Jordan Sebastien,7226,1995-09-05,28.9,M,FRA,A,89,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,-155,155,-161,155,-195,196,-204,196,351
10,NA,NA,BRUCE Kyle John Ryan Christopher P,2622,1999-07-12,25.1,M,AUS,A,86.45,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,143,-148,148,148,-182,182,-188,182,330
NA,NA,NA,ABOKAHLA Karim Ibrahim Ibrahim Ali,170,1996-11-11,27.7,M,EGY,A,89,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,165,-170,-170,165,NA,NA,NA,NA,NA
NA,NA,NA,SANTAVY Boady Robert,14863,1997-05-22,27.2,M,CAN,A,89,89 kg Men,0,0,604,XXXIII Olympic Games,2024-08-07,158,163,-166,163,-186,-187,-188,NA,NA
