rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,ABOKAHLA Karim Ibrahim Ibrahim Ali,EGY,"Nov 11, 1996",89.00,A,165,---,---,---,89kgMen,Total,604,False
---,SANTAVY Boady Robert,CAN,"May 22, 1997",89.00,A,163,---,---,---,89kgMen,Total,604,False
---,DJURAEV Akbar,UZB,"Oct 08, 1999",102.00,A,180,185,-189,185,102kgMen,Snatch,604,False
---,KARAPETYAN Garik,ARM,"Jun 11, 2003",102.00,A,180,-186,186,186,102kgMen,Snatch,604,False
---,TSIKHANTSOU Yauheni,AIN,"Nov 04, 1998",102.00,A,-176,178,183,183,102kgMen,Snatch,604,False
---,CHKHEIDZE Irakli,GEO,"Jan 05, 1999",102.00,A,171,176,179,179,102kgMen,Snatch,604,False
---,PAREDES MONTANO Lesman,BRN,"Mar 05, 1996",101.90,A,181,-186,-188,181,102kgMen,Snatch,604,False
---,MORA ROMERO Ramiro,WRT,"Sep 29, 1997",101.90,A,161,166,-168,166,102kgMen,Snatch,604,False
---,KITTS Wesley Brian,USA,"May 22, 1990",102.00,A,167,172,-177,172,102kgMen,Snatch,604,False
---,JANG Yeonhak,KOR,"Feb 14, 1997",102.00,A,173,-179,-180,173,102kgMen,Snatch,604,False
---,HASANBAYEV Davranbek,TKM,"Dec 24, 2000",100.90,A,180,-187,-188,180,102kgMen,Snatch,604,False
---,ABUZRIBA Ahmed Mustafa Ahmed,LBA,"Apr 16, 2000",101.95,A,164,-169,-170,164,102kgMen,Snatch,604,False
---,OPELOGE Don,SAM,"May 13, 1999",101.55,A,-170,-170,-170,---,102kgMen,Snatch,604,False
---,ELBAKH Fares Ibrahim E. H.,QAT,"Jun 04, 1998",101.70,A,-178,-178,-178,---,102kgMen,Snatch,604,False
---,LIU Huanhua,CHN,"Aug 20, 2001",101.75,A,178,183,186,186,102kgMen,Snatch,604,False
---,DJURAEV Akbar,UZB,"Oct 08, 1999",102.00,A,219,-224,-232,219,102kgMen,CleanJerk,604,False
---,KARAPETYAN Garik,ARM,"Jun 11, 2003",102.00,A,212,-218,-218,212,102kgMen,CleanJerk,604,False
---,TSIKHANTSOU Yauheni,AIN,"Nov 04, 1998",102.00,A,214,219,-228,219,102kgMen,CleanJerk,604,False
---,CHKHEIDZE Irakli,GEO,"Jan 05, 1999",102.00,A,-214,214,-224,214,102kgMen,CleanJerk,604,False
---,PAREDES MONTANO Lesman,BRN,"Mar 05, 1996",101.90,A,211,-218,-218,211,102kgMen,CleanJerk,604,False
---,MORA ROMERO Ramiro,WRT,"Sep 29, 1997",101.90,A,201,206,210,210,102kgMen,CleanJerk,604,False
---,KITTS Wesley Brian,USA,"May 22, 1990",102.00,A,202,-210,-210,202,102kgMen,CleanJerk,604,False
---,JANG Yeonhak,KOR,"Feb 14, 1997",102.00,A,200,-211,-221,200,102kgMen,CleanJerk,604,False
---,HASANBAYEV Davranbek,TKM,"Dec 24, 2000",100.90,A,-190,190,-200,190,102kgMen,CleanJerk,604,False
---,ABUZRIBA Ahmed Mustafa Ahmed,LBA,"Apr 16, 2000",101.95,A,---,---,---,---,102kgMen,CleanJerk,604,False
---,OPELOGE Don,SAM,"May 13, 1999",101.55,A,---,---,---,---,102kgMen,CleanJerk,604,False
---,ELBAKH Fares Ibrahim E. H.,QAT,"Jun 04, 1998",101.70,A,---,---,---,---,102kgMen,CleanJerk,604,False
---,LIU Huanhua,CHN,"Aug 20, 2001",101.75,A,220,-228,-233,220,102kgMen,CleanJerk,604,False
1,LIU Huanhua,CHN,"Aug 20, 2001",101.75,A,186,220,406,---,102kgMen,Total,604,False
2,DJURAEV Akbar,UZB,"Oct 08, 1999",102.00,A,185,219,404,---,102kgMen,Total,604,False
3,TSIKHANTSOU Yauheni,AIN,"Nov 04, 1998",102.00,A,183,219,402,---,102kgMen,Total,604,False
4,KARAPETYAN Garik,ARM,"Jun 11, 2003",102.00,A,186,212,398,---,102kgMen,Total,604,False
5,CHKHEIDZE Irakli,GEO,"Jan 05, 1999",102.00,A,179,214,393,---,102kgMen,Total,604,False
6,PAREDES MONTANO Lesman,BRN,"Mar 05, 1996",101.90,A,181,211,392,---,102kgMen,Total,604,False
7,MORA ROMERO Ramiro,WRT,"Sep 29, 1997",101.90,A,166,210,376,---,102kgMen,Total,604,False
8,KITTS Wesley Brian,USA,"May 22, 1990",102.00,A,172,202,374,---,102kgMen,Total,604,False
9,JANG Yeonhak,KOR,"Feb 14, 1997",102.00,A,173,200,373,---,102kgMen,Total,604,False
10,HASANBAYEV Davranbek,TKM,"Dec 24, 2000",100.90,A,180,190,370,---,102kgMen,Total,604,False
---,ABUZRIBA Ahmed Mustafa Ahmed,LBA,"Apr 16, 2000",101.95,A,164,---,---,---,102kgMen,Total,604,False
---,OPELOGE Don,SAM,"May 13, 1999",101.55,A,---,---,---,---,102kgMen,Total,604,False
---,ELBAKH Fares Ibrahim E. H.,QAT,"Jun 04, 1998",101.70,A,---,---,---,---,102kgMen,Total,604,False
---,LITI David Andrew,NZL,"Jul 11, 1996",175.95,A,178,182,184,184,+102kgMen,Snatch,604,False
---,SEIM Mart,EST,"Oct 24, 1990",152.80,A,175,180,-183,180,+102kgMen,Snatch,604,False
