rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
3,ABRAHAMYAN Mnatsakan,ARM,"Aug 29, 2003",80.90,A,138,175,313,---,81kgMen,Total,579,False
4,ESARTIA Nikoloz,GEO,"Mar 25, 2005",80.30,A,142,168,310,---,81kgMen,Total,579,False
5,FEKECS Szilard,HUN,"Feb 05, 2004",81.00,A,137,171,308,---,81kgMen,Total,579,False
6,LAZUGA Konrad,POL,"Feb 03, 2003",77.55,A,139,166,305,---,81kgMen,Total,579,False
7,LIEVANZOV Mark,UKR,"Sep 03, 2004",78.95,A,126,172,298,---,81kgMen,Total,579,False
8,SAINI Rishabh,GER,"Sep 29, 2005",80.80,B,130,157,287,---,81kgMen,Total,579,False
9,KOSHERSKI Hristo,BUL,"Dec 24, 2004",80.50,B,125,157,282,---,81kgMen,Total,579,False
10,SAMULIAK Stepan,UKR,"Mar 13, 2005",77.25,B,126,155,281,---,81kgMen,Total,579,False
11,HAUTANIEMI Eetu Matias,FIN,"Jun 11, 2005",80.90,B,127,150,277,---,81kgMen,Total,579,False
12,TANASOIU Mihaita Constantin,ROU,"Jun 22, 2005",75.70,A,125,150,275,---,81kgMen,Total,579,False
13,KREJCIK Vojtech,CZE,"Aug 02, 2004",79.90,A,123,148,271,---,81kgMen,Total,579,False
14,MARIUTA Ion,MDA,"Sep 15, 2006",79.95,B,120,150,270,---,81kgMen,Total,579,False
15,DA SILVA Romain,FRA,"Feb 03, 2005",80.05,B,122,145,267,---,81kgMen,Total,579,False
16,MODREY Luca,AUT,"Apr 14, 2005",80.65,B,115,152,267,---,81kgMen,Total,579,False
17,URBANS Madis,LAT,"May 25, 2006",79.95,B,116,147,263,---,81kgMen,Total,579,False
18,DINU Bogdan Gabriel,ROU,"Mar 18, 2003",80.95,B,110,140,250,---,81kgMen,Total,579,False
1,KOFSHA Ertjan,ALB,"Apr 09, 2005",89.00,A,149,151,153,153,89kgMen,Snatch,579,False
2,GRIGORYAN Suren,ARM,"Nov 19, 2003",88.85,A,-150,150,-154,150,89kgMen,Snatch,579,False
3,MSKHALADZE Zurab,GEO,"Jun 28, 2003",87.00,A,-144,144,149,149,89kgMen,Snatch,579,False
4,CELIK Enes,TUR,"Jul 21, 2004",89.00,A,-148,148,-150,148,89kgMen,Snatch,579,False
5,BARANSKI Patryk Grzegorz,POL,"Apr 12, 2004",88.90,A,140,144,147,147,89kgMen,Snatch,579,False
6,CATALDI Stefano,GBR,"Mar 11, 2003",87.40,A,134,-138,139,139,89kgMen,Snatch,579,False
7,JAWORSKI Michal,POL,"Apr 24, 2004",88.70,A,-138,-138,139,139,89kgMen,Snatch,579,False
8,FERNANDEZ Sergio,ESP,"Nov 13, 2003",86.50,A,137,-142,-142,137,89kgMen,Snatch,579,False
9,CIUBOTARU Daniel-Calin,MDA,"Apr 21, 2005",88.50,A,130,-134,134,134,89kgMen,Snatch,579,False
10,SIMBUERGER Elias,AUT,"Mar 28, 2004",88.15,B,-129,-129,129,129,89kgMen,Snatch,579,False
11,KOLAR David,CZE,"Aug 16, 2005",88.40,B,123,128,-130,128,89kgMen,Snatch,579,False
12,DANUTA Vadim,MDA,"Oct 18, 2006",84.75,B,122,-127,127,127,89kgMen,Snatch,579,False
13,PAGACIK Filip,SVK,"Nov 22, 2006",84.45,B,120,-124,---,120,89kgMen,Snatch,579,False
1,GRIGORYAN Suren,ARM,"Nov 19, 2003",88.85,A,182,188,191,191,89kgMen,CleanJerk,579,False
2,MSKHALADZE Zurab,GEO,"Jun 28, 2003",87.00,A,180,185,190,190,89kgMen,CleanJerk,579,False
3,KOFSHA Ertjan,ALB,"Apr 09, 2005",89.00,A,178,181,184,184,89kgMen,CleanJerk,579,False
4,CELIK Enes,TUR,"Jul 21, 2004",89.00,A,175,-179,-179,175,89kgMen,CleanJerk,579,False
5,CATALDI Stefano,GBR,"Mar 11, 2003",87.40,A,-173,173,-182,173,89kgMen,CleanJerk,579,False
6,JAWORSKI Michal,POL,"Apr 24, 2004",88.70,A,-171,172,-179,172,89kgMen,CleanJerk,579,False
7,FERNANDEZ Sergio,ESP,"Nov 13, 2003",86.50,A,165,171,-176,171,89kgMen,CleanJerk,579,False
8,BARANSKI Patryk Grzegorz,POL,"Apr 12, 2004",88.90,A,165,170,-174,170,89kgMen,CleanJerk,579,False
9,SIMBUERGER Elias,AUT,"Mar 28, 2004",88.15,B,162,-167,167,167,89kgMen,CleanJerk,579,False
10,CIUBOTARU Daniel-Calin,MDA,"Apr 21, 2005",88.50,A,150,154,-156,154,89kgMen,CleanJerk,579,False
11,KOLAR David,CZE,"Aug 16, 2005",88.40,B,-152,152,-160,152,89kgMen,CleanJerk,579,False
12,DANUTA Vadim,MDA,"Oct 18, 2006",84.75,B,-152,-152,152,152,89kgMen,CleanJerk,579,False
13,PAGACIK Filip,SVK,"Nov 22, 2006",84.45,B,135,140,145,145,89kgMen,CleanJerk,579,False
1,GRIGORYAN Suren,ARM,"Nov 19, 2003",88.85,A,150,191,341,---,89kgMen,Total,579,False
2,MSKHALADZE Zurab,GEO,"Jun 28, 2003",87.00,A,149,190,339,---,89kgMen,Total,579,False
3,KOFSHA Ertjan,ALB,"Apr 09, 2005",89.00,A,153,184,337,---,89kgMen,Total,579,False
4,CELIK Enes,TUR,"Jul 21, 2004",89.00,A,148,175,323,---,89kgMen,Total,579,False
5,BARANSKI Patryk Grzegorz,POL,"Apr 12, 2004",88.90,A,147,170,317,---,89kgMen,Total,579,False
6,CATALDI Stefano,GBR,"Mar 11, 2003",87.40,A,139,173,312,---,89kgMen,Total,579,False
7,JAWORSKI Michal,POL,"Apr 24, 2004",88.70,A,139,172,311,---,89kgMen,Total,579,False
8,FERNANDEZ Sergio,ESP,"Nov 13, 2003",86.50,A,137,171,308,---,89kgMen,Total,579,False
9,SIMBUERGER Elias,AUT,"Mar 28, 2004",88.15,B,129,167,296,---,89kgMen,Total,579,False
10,CIUBOTARU Daniel-Calin,MDA,"Apr 21, 2005",88.50,A,134,154,288,---,89kgMen,Total,579,False
11,KOLAR David,CZE,"Aug 16, 2005",88.40,B,128,152,280,---,89kgMen,Total,579,False
12,DANUTA Vadim,MDA,"Oct 18, 2006",84.75,B,127,152,279,---,89kgMen,Total,579,False
13,PAGACIK Filip,SVK,"Nov 22, 2006",84.45,B,120,145,265,---,89kgMen,Total,579,False
1,CHYNIAKOV Danylo,UKR,"Jun 25, 2005",95.95,A,148,152,154,154,96kgMen,Snatch,579,False
2,ABATI Simone Karol,ITA,"Jan 13, 2006",95.85,A,147,150,153,153,96kgMen,Snatch,579,False
