athlete_id,name,name_alt,date_of_birth,gender,nations
2957,CASTELLANOS Gladis,NA,1986-08-22,W,MEX
8251,KIM Tae-Hyun,NA,1986-08-25,M,KOR
1030,ALYAZIDI Salah Mohammed N,NA,1986-08-27,M,QAT
6396,HAXHIHYSENI Endri,NA,1986-08-27,M,ALB
3960,DAVTYAN Vardan,NA,1986-08-29,M,ARM
4847,ETTALEB Mustapha,NA,1986-08-29,M,MAR
4904,FALESUANI Tia,NA,1986-08-30,M,SAM
16538,TURAEV Khurshed,NA,1986-08-30,M,TJK
971,ALSHAMMARI Khalid Abdulla,NA,1986-08-31,M,QAT
10978,MOLNAR Alexandra,NA,1986-08-31,W,HUN
16361,TOTH Adam,NA,1986-09-02,M,HUN
3286,CHEREZOVA Margarita,NA,1986-09-05,W,KAZ
15325,SMOSARSKA Justyna,NA,1986-09-05,W,POL
9557,LOPEZ JIMENEZ Lazaro Jose,NA,1986-09-08,M,CUB
7009,ILHAN Abdulrahman,NA,1986-09-10,M,TUR
2513,BRIMHALL Justin L.,NA,1986-09-12,M,USA
12597,PAVLOV Kirill,NA,1986-09-13,M,KAZ
10235,MARTIROSJAN Sargis,NA,1986-09-14,M,AUT
8279,KIMBU Gloria,NA,1986-09-14,W,PNG
3879,DARABEYGI Ehsan,NA,1986-09-22,M,IRI
4155,DETENAMO Itte,NA,1986-09-22,M,NRU
3033,CERBUS Michael Frazier,NA,1986-09-23,M,USA
12517,PARK Hye-Hyun,NA,1986-09-23,W,KOR
15047,SHREDI Elhani,NA,1986-09-25,M,LBA
7491,JORDAN Robert,NA,1986-09-29,M,NZL
14435,SANCHEZ RIVERO Raul Alexander,NA,1986-09-29,M,VEN
17826,ZACARIAS Constanza,NA,1986-09-29,W,ARG
